"","ID","Age","Height","Weight","Year","cluster"
"64337",32946,27,175.539605950945,73.953388285543,1956,3
"64343",32950,25,175.539605950945,73.953388285543,1956,3
"64376",32961,27,175.539605950945,73.953388285543,1948,3
"64377",32961,27,175.539605950945,73.953388285543,1948,3
"64380",32963,24,184,85,1980,1
"64381",32963,28,184,85,1984,1
"64392",32968,22,177,78,1980,3
"64400",32973,21,173,68,1988,3
"64413",32978,28,188,89,2014,1
"64437",32984,24,179,85,1994,3
"64441",32987,22,194,96,1988,1
"64461",32994,28,183,73.953388285543,1936,3
"64463",32996,20,189,87,1980,1
"64464",32996,28,189,87,1988,1
"64473",33000,30,180,74,1968,4
"64584",33053,19,158,50,1976,2
"64623",33072,20,162,59,1994,2
"64629",33072,24,162,59,1998,2
"64633",33072,28,162,59,2002,2
"64641",33076,25,178,84,1980,3
"64819",33160,25,175.539605950945,73.953388285543,1924,3
"65044",33291,27,175.539605950945,73.953388285543,1952,3
"65045",33291,27,175.539605950945,73.953388285543,1952,3
"65095",33312,29,188,82,2002,1
"65097",33312,29,188,82,2002,1
"65098",33312,29,188,82,2002,1
"65101",33312,33,188,82,2006,1
"65110",33316,28,179,71,1980,4
"65163",33352,27,175.539605950945,73.953388285543,1960,3
"65309",33424,25,178,77,2014,3
"65438",33492,22,175,73.953388285543,1928,3
"65439",33492,22,175,73.953388285543,1928,3
"65440",33492,22,175,73.953388285543,1928,3
"65442",33492,26,175,73.953388285543,1932,3
"65447",33493,33,175.539605950945,73.953388285543,1948,4
"65450",33495,24,179,73.953388285543,2010,3
"65470",33508,26,175.539605950945,70,1932,3
"65750",33650,28,170,62,2014,2
"65789",33670,24,189,80,2006,1
"65790",33670,24,189,80,2006,1
"65792",33670,24,189,80,2006,1
"65932",33740,25,170,68,1994,2
"66140",33832,22,181,80,2010,3
"66228",33881,30,175.539605950945,73.953388285543,1952,4
"66229",33882,29,175.539605950945,73.953388285543,1952,4
"66240",33887,24,175.539605950945,73.953388285543,1952,3
"66294",33918,23,162,73.953388285543,2014,2
"66342",33944,23,158,50,1968,2
"66343",33944,23,158,50,1968,2
"66366",33949,20,170,55,2014,2
"66531",34031,26,176,80,1972,3
"66668",34103,23,175,65,1936,3
"66720",34125,24,183,73.953388285543,1936,3
"66730",34133,23,175.539605950945,71,1932,3
"66751",34144,21,175.539605950945,73.953388285543,1928,3
"66778",34163,24,163,57,2014,2
"66804",34175,27,175.539605950945,71,1948,3
"66839",34188,29,175.539605950945,73.953388285543,1928,4
"66860",34198,35,184,100,1988,1
"66872",34201,28,180,94,1988,1
"66911",34230,24,172,62,2014,2
"67003",34270,23,183,74,1992,3
"67007",34270,25,183,74,1994,3
"67008",34270,25,183,74,1994,3
"67010",34270,29,183,74,1998,4
"67013",34270,29,183,74,1998,4
"67150",34322,24,178,72,1968,3
"67352",34422,26,180,75,1994,3
"67422",34465,27,175.539605950945,73.953388285543,1936,3
"67423",34465,27,175.539605950945,73.953388285543,1936,3
"67424",34465,39,175.539605950945,73.953388285543,1948,4
"67426",34465,43,175.539605950945,73.953388285543,1952,4
"67427",34465,43,175.539605950945,73.953388285543,1952,4
"67448",34478,24,180,90,1964,1
"67538",34511,29,183,70,1992,4
"67646",34573,24,175.539605950945,73.953388285543,1956,3
"67694",34600,28,180,86,1976,1
"67709",34611,19,179,75,1998,3
"67712",34611,23,179,75,2002,3
