"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_A","OCCU_C","OCCU_U","OCCU_H","OCCU_B","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_SC","CASTE_ST","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H"
"824",1892,"F",20,"OT","H","T","C",7500,0,12,24,12,48,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"825",1296,"F",30,"SC","H","T","C",4500,0,7,31,24,62,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"826",1407,"F",25,"OT","H","T","C",7500,3,18,35,18,71,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"827",1115,"F",25,"OT","H","T","C",2000,0,12,20,12,44,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"828",32,"T",32,"OT","H","T","C",4000,0,10.5,22,14,47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"829",808,"F",29,"SC","H","T","C",4000,0,16,40,20,76,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"830",718,"F",16,"OT","H","T","C",2500,0,16,29,22,67,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"831",3293,"F",18,"OT","H","T","C",7500,0,9,3,13,25,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"832",1926,"F",35,"OT","H","T","A",5000,4,7,13,6,26,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"833",3092,"T",23,"OT","H","T","C",5000,0,17,27,18,62,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"834",2724,"T",31,"OT","H","T","C",5000,0,16,15,18,49,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"835",2011,"F",21,"SC","H","T","C",3000,0,21,13,14,48,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"836",1157,"F",37,"SC","H","T","C",4500,0,14,32,12,58,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
