"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_C","OCCU_A","OCCU_B","OCCU_U","OCCU_H","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_ST","CASTE_SC","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H","acheivers"
"768",602,"F",40,"OT","H","T","C",7000,0,3,23,20,46,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"769",230,"F",38,"SC","H","T","C",4500,0,23,24,10,57,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"770",1465,"F",27,"OT","H","T","C",4500,0,20.5,3.5,10,35,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"771",5893,"F",30,"OT","H","U","C",5000,0,25,36,25,86,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"772",4336,"T",28,"SC","H","T","C",12000,0,15,31,27,73,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"773",5292,"T",20,"OT","H","U","A",10000,5,10,9,25,44,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"774",1640,"F",20,"SC","H","T","C",3000,0,16,29,23,68,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"775",681,"F",20,"OT","H","T","C",2000,0,15,27,14,56,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"776",185,"F",20,"OT","H","T","C",8200,0,10,14,15,39,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"777",5451,"F",20,"OT","H","U","A",6000,0,8,31,22,61,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"778",2938,"F",18,"SC","H","T","C",6000,1,16,28,17,61,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"779",5539,"T",20,"SC","H","T","C",3000,0,16,38,28,82,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"780",3920,"F",38,"OT","H","T","C",6000,0,19,36,19,74,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"781",515,"F",30,"OT","H","T","C",3500,0,16,27,20,63,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"782",1189,"T",29,"OT","H","T","C",5000,0,7,35,12,54,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"783",2293,"F",28,"SC","H","T","C",6000,0,12,8,2,22,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"784",2665,"F",26,"SC","H","T","C",5000,2,5,7,10,22,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"785",4779,"F",25,"OT","H","T","A",3500,0,12,28,24,64,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"786",5183,"F",27,"SC","H","T","C",12000,0,18,24,24,66,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"787",771,"F",30,"OT","H","T","C",3000,0,19,30,26,75,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"788",4380,"F",29,"OT","H","T","C",10000,0,14,32,26,72,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
